seqname	V	D	J	vlen	vdilen	dlen	djilen	jlen
S951	IGHV1/OR21-1*01	IGHD2-8*01	IGHJ2*01	293	6	19	4	42
S952	IGHV3-30*10	IGHD2-8*01	IGHJ5*02	290	12	29	5	49
S953	IGHV1-3*01	IGHD3-3*02	IGHJ5*01	291	7	17	1	42
S954	IGHV5-10-1*04	IGHD5-24*01	IGHJ1*01	289	7	15	1	40
S955	IGHV1/OR15-9*01	IGHD4/OR15-4a*01	IGHJ5*01	294	5	6	0	38
S956	IGHV3/OR16-10*01	IGHD5-24*01	IGHJ4*03	290	7	10	9	42
S957	IGHV3/OR16-9*01	IGHD4-17*01	IGHJ5*02	291	0	0	0	49
S958	IGHV1-69*06	IGHD7-27*01	IGHJ4*03	294	12	1	0	48
S959	IGHV3-30-3*01	IGHD4/OR15-4a*01	IGHJ4*03	294	0	13	2	43
S960	IGHV3/OR16-12*01	IGHD5-18*01	IGHJ6*03	294	0	20	14	56
S961	IGHV6-1*02	IGHD2-15*01	IGHJ6*04	303	5	24	3	56
S962	IGHV1-24*01	IGHD1-20*01	IGHJ6*01	294	7	11	6	58
S963	IGHV3/OR16-9*01	IGHD5-12*01	IGHJ4*02	292	7	18	3	47
S964	IGHV3/OR15-7*01	IGHD1-14*01	IGHJ4*01	300	1	15	14	43
S965	IGHV2-5*04	IGHD2-8*02	IGHJ3*01	295	10	24	0	35
S966	IGHV3/OR16-6*02	IGHD3-22*01	IGHJ3*01	299	0	26	0	45
S967	IGHV3/OR16-9*01	IGHD1-1*01	IGHJ5*02	294	4	11	1	51
S968	IGHV3-21*03	IGHD6-19*01	IGHJ1*01	291	13	10	0	47
S969	IGHV3-43D*01	IGHD2-2*01	IGHJ1*01	294	6	6	0	49
S970	IGHV4-61*01	IGHD6-6*01	IGHJ2*01	297	5	9	9	53
S971	IGHV1/OR15-9*01	IGHD3-3*01	IGHJ2*01	292	0	31	0	53
S972	IGHV4-30-4*04	IGHD2-8*02	IGHJ6*01	290	4	21	0	52
S973	IGHV3-16*01	IGHD6-6*01	IGHJ6*04	293	3	11	0	63
S974	IGHV5-10-1*01	IGHD2-2*02	IGHJ1*01	288	0	25	3	51
S975	IGHV1/OR15-9*01	IGHD3-10*01	IGHJ1*01	288	8	19	0	46
S976	IGHV2-70D*14	IGHD3-16*01	IGHJ6*02	299	8	23	0	57
S977	IGHV3-7*01	IGHD5-18*01	IGHJ3*02	294	0	10	4	41
S978	IGHV4-39*05	IGHD4-11*01	IGHJ1*01	293	4	14	10	43
S979	IGHV3-49*01	IGHD1/OR15-1a*01	IGHJ3*02	300	3	7	7	47
S980	IGHV6-1*02	IGHD2-2*02	IGHJ5*02	303	7	21	9	51
S981	IGHV7-4-1*04	IGHD3-9*01	IGHJ2*01	294	0	22	19	53
S982	IGHV4-59*07	IGHD2-15*01	IGHJ2*01	291	7	21	0	51
S983	IGHV1-2*05	IGHD4/OR15-4a*01	IGHJ3*02	294	0	1	1	50
S984	IGHV1/OR21-1*01	IGHD4/OR15-4a*01	IGHJ1*01	294	5	15	4	52
S985	IGHV4-31*04	IGHD4-17*01	IGHJ4*02	294	9	1	23	40
S986	IGHV3-43D*01	IGHD1-1*01	IGHJ3*01	294	0	17	0	50
S987	IGHV2-26*01	IGHD2-15*01	IGHJ5*01	300	1	19	1	46
S988	IGHV3-66*01	IGHD3-16*02	IGHJ5*02	289	0	21	0	51
S989	IGHV4/OR15-8*03	IGHD5-12*01	IGHJ4*03	292	4	19	0	37
S990	IGHV3-7*01	IGHD1-14*01	IGHJ2*01	289	2	9	0	46
S991	IGHV3-35*01	IGHD2-2*02	IGHJ2*01	294	0	22	0	48
S992	IGHV3/OR16-8*01	IGHD6-13*01	IGHJ3*01	294	15	9	10	45
S993	IGHV7-4-1*01	IGHD2-21*02	IGHJ5*01	293	0	20	4	47
S994	IGHV3-38-3*01	IGHD3/OR15-3a*01	IGHJ2*01	287	4	21	17	53
S995	IGHV4-39*07	IGHD1-20*01	IGHJ2*01	297	3	8	0	50
S996	IGHV1/OR21-1*01	IGHD3-22*01	IGHJ3*01	292	0	29	8	38
S997	IGHV3-23*04	IGHD6-6*01	IGHJ2*01	292	3	13	0	53
S998	IGHV3-NL1*01	IGHD6-19*01	IGHJ5*02	294	11	0	0	44
S999	IGHV4-38-2*02	IGHD3-3*01	IGHJ2*01	294	8	26	7	41
S1000	IGHV4-31*03	IGHD3-10*01	IGHJ3*01	295	2	22	0	48
